"","id","dbcas","dbname","dataused","COMMENT.CONFIDENCE","COMMENT.ID","CH$NAME1","CH$NAME2","CH$NAME3","CH$COMPOUND_CLASS","CH$FORMULA","CH$EXACT_MASS","CH$SMILES","CH$IUPAC","CH$LINK.CAS","CH$LINK.CHEBI","CH$LINK.HMDB","CH$LINK.KEGG","CH$LINK.LIPIDMAPS","CH$LINK.PUBCHEM","CH$LINK.INCHIKEY","CH$LINK.CHEMSPIDER"
"1","219",,"Emetine ","smiles","standard compound","219","Emetine ","(2S,3R,11bS)-2-[[(1R)-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinolin-1-yl]methyl]-3-ethyl-9,10-dimethoxy-2,3,4,6,7,11b-hexahydro-1H-benzo[a]quinolizine",,"N/A; Environmental Standard","C29H40N2O4","480.298807760001","CC[C@H]1CN2CCc3cc(c(cc3[C@@H]2C[C@@H]1C[C@@H]1c2cc(c(cc2CCN1)OC)OC)OC)OC","InChI=1S/C29H40N2O4/c1-6-18-17-31-10-8-20-14-27(33-3)29(35-5)16-23(20)25(31)12-21(18)11-24-22-15-28(34-4)26(32-2)13-19(22)7-9-30-24/h13-16,18,21,24-25,30H,6-12,17H2,1-5H3/t18-,21-,24+,25-/m0/s1","483-18-1",,,"C09421",,"CID:10219","AUVVAXYIELKVAI-CKBKHPSWSA-N","9802"
"2","237",,"Bicuculline ","smiles","standard compound","237","Bicuculline ","(6R)-6-[(5S)-6-methyl-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isoquinolin-5-yl]-6H-furo[3,4-g][1,3]benzodioxol-8-one",,"N/A; Environmental Standard","C20H17NO6","367.105587264","CN1CCc2cc3c(cc2[C@H]1[C@H]1c2ccc4c(c2C(=O)O1)OCO4)OCO3","InChI=1S/C20H17NO6/c1-21-5-4-10-6-14-15(25-8-24-14)7-12(10)17(21)18-11-2-3-13-19(26-9-23-13)16(11)20(22)27-18/h2-3,6-7,17-18H,4-5,8-9H2,1H3/t17-,18+/m0/s1","485-49-4",,,"C09364",,"CID:10237","IYGYMKDQCDOMRE-ZWKOTPCHSA-N","9820"
"3","1795",,"Indole-3-acetonitrile ","smiles","standard compound","1795","Indole-3-acetonitrile ","2-(1H-indol-3-yl)acetonitrile",,"N/A; Environmental Standard","C10H8N2","156.068748256","c1ccc2c(c1)c(CC#N)c[nH]2","InChI=1S/C10H8N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5H2","771-51-7",,,"C02938",,"CID:351795","DMCPFOBLJMLSNX-UHFFFAOYSA-N",
"4","4114",,"Xanthotoxin ","smiles","standard compound","4114","Xanthotoxin ","9-methoxyfuro[3,2-g]chromen-7-one",,"N/A; Environmental Standard","C12H8O4","216.042258736","COc1c2c(cco2)cc2ccc(=O)oc12","InChI=1S/C12H8O4/c1-14-12-10-8(4-5-15-10)6-7-2-3-9(13)16-11(7)12/h2-6H,1H3","298-81-7",,,"D00139",,"CID:4114","QXKHYNVANLEOEG-UHFFFAOYSA-N","3971"
"5","5770",,"Reserpine ","smiles","standard compound","5770","Reserpine ","methyl (1R,15S,17R,18R,19S,20S)-6,18-dimethoxy-17-(3,4,5-trimethoxybenzoyl)oxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate",,"N/A; Environmental Standard","C33H40N2O9","608.273380860001","COc1ccc2c3CCN4C[C@H]5C[C@H]([C@@H]([C@H]([C@H]5C[C@@H]4c3[nH]c2c1)C(=O)OC)OC)OC(=O)c1cc(c(c(c1)OC)OC)OC","InChI=1S/C33H40N2O9/c1-38-19-7-8-20-21-9-10-35-16-18-13-27(44-32(36)17-11-25(39-2)30(41-4)26(12-17)40-3)31(42-5)28(33(37)43-6)22(18)15-24(35)29(21)34-23(20)14-19/h7-8,11-12,14,18,22,24,27-28,31,34H,9-10,13,15-16H2,1-6H3/t18-,22+,24-,27-,28+,31+/m1/s1","50-55-5",,,"D00197",,"CID:5770","QEVHRUUCFGRFIF-MDEJGZGSSA-N","5566"
"6","6758",,"Rotenone ","smiles","standard compound","6758","Rotenone ",,,"N/A; Environmental Standard","C23H22O6","394.141638424","C=C(C)[C@H]1Cc2c(ccc3C(=O)[C@H]4c5cc(c(cc5OC[C@H]4Oc23)OC)OC)O1","InChI=1S/C23H22O6/c1-11(2)16-8-14-15(28-16)6-5-12-22(24)21-13-7-18(25-3)19(26-4)9-17(13)27-10-20(21)29-23(12)14/h5-7,9,16,20-21H,1,8,10H2,2-4H3/t16-,20-,21+/m1/s1","83-79-4",,,"C07593","LMPK12060007","CID:6758","JUVIOZPCNVVQFO-HBGVWJBISA-N","6500"
"7","9665",,"Xanthohumol ","smiles","standard compound","9665","Xanthohumol ","(E)-1-[2,4-dihydroxy-6-methoxy-3-(3-methylbut-2-enyl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one",,"N/A; Environmental Standard","C21H22O5","354.146723804001","CC(=CCc1c(cc(c(C(=O)/C=C/c2ccc(cc2)O)c1O)OC)O)C","InChI=1S/C21H22O5/c1-13(2)4-10-16-18(24)12-19(26-3)20(21(16)25)17(23)11-7-14-5-8-15(22)9-6-14/h4-9,11-12,22,24-25H,10H2,1-3H3/b11-7+","6754-58-1",,,"C16417","LMPK12120294","CID:639665","ORXQGKIUCDPEAJ-YRNVUSSQSA-N","555077"
"8","9867",,"Indole-3-carboxylic acid ","smiles","standard compound","9867","Indole-3-carboxylic acid ","1H-indole-3-carboxylic acid",,"N/A; Environmental Standard","C9H7NO2","161.047678464","c1ccc2c(c1)c(c[nH]2)C(=O)O","InChI=1S/C9H7NO2/c11-9(12)7-5-10-8-4-2-1-3-6(7)8/h1-5,10H,(H,11,12)","771-50-6",,,"C19837",,"CID:69867","KMAKOBLIOCQGJP-UHFFFAOYSA-N","63063"
